ARCID,ATYP,ADEP,ADES,RM,ARF,ETD,TT,ETA,Flight Time,Adjusted Time,CAT,Seats,Airline
VLG3726,A320,LEBL,LEMH,ECMLE,170,20:16:00,11,21:05:00,00:49:00,00:23:00,D,173,VLG
WZZ80TX,A320,LEBL,LYBE,HALYG,380,20:31:00,20,22:45:00,02:14:00,01:39:00,D,173,WZZ
VLG67NQ,A20N,LEBL,LEAL,ECNDB,290,20:36:00,11,21:20:00,00:44:00,00:18:00,D,174,VLG
RYR37ZU,B738,LEBL,GMMW,9HQFK,370,19:58:00,20,21:55:00,01:57:00,01:22:00,D,184,RYR
RYR42SY,B738,LEIB,LEBL,9HQBW,240,20:13:00,7,20:45:00,00:32:00,00:10:00,D,184,RYR
RYR719C,B738,LEBL,GMFF,EIDPH,370,20:35:00,20,22:05:00,01:30:00,00:55:00,D,184,RYR
VLG963B,A320,GCXO,LEBL,ECMFN,360,17:48:00,4,20:45:00,02:57:00,02:38:00,D,173,VLG
VLG42YQ,A320,LEBL,LIRF,ECMGE,360,20:43:00,11,21:55:00,01:12:00,00:46:00,D,173,VLG
RYR539Z,A320,LEPA,LEBL,9HLAX,180,20:16:00,15,20:45:00,00:29:00,00:15:00,D,173,RYR
VLG14PF,A320,LIMC,LEBL,ECOKH,290,19:43:00,13,20:50:00,01:07:00,00:39:00,D,173,VLG
VLG9DW,A320,LEBL,LEPA,ECKHN,190,20:50:00,10,21:15:00,00:25:00,00:15:00,D,173,VLG
VLG9BY,A20N,LEBL,LEMG,ECNCF,390,20:51:00,11,22:05:00,01:14:00,00:48:00,D,174,VLG
IBE04LY,A320,LEMD,LEBL,ECILS,300,20:08:00,16,20:55:00,00:47:00,00:16:00,D,173,IBE
ETD9TC,B789,LEBL,OMAA,A6BNB,390,20:59:00,11,03:00:00,06:01:00,05:35:00,B,284,ETD
AFR69BZ,A320,LFPG,LEBL,FGKXH,370,19:21:00,16,21:00:00,01:39:00,01:08:00,D,173,AFR
EZY13AP,A320,LEBL,EGCC,GEZUZ,380,20:50:00,20,22:50:00,02:00:00,01:25:00,D,173,EZY
BAW482P,A320,EGLL,LEBL,GEUYX,290,18:57:00,33,21:00:00,02:03:00,01:15:00,D,173,BAW
FPY6F,A20N,LEBL,BIKF,TFPPD,380,20:59:00,20,00:55:00,03:56:00,03:21:00,D,174,FPY
VLG39YK,A320,EDDL,LEBL,ECKRH,390,19:06:00,11,21:00:00,01:54:00,01:28:00,D,173,VLG
VLG6154,A320,LEBL,DAAG,ECMVO,330,20:52:00,12,21:50:00,00:58:00,00:31:00,D,173,VLG
RYR6975,B738,LGKR,LEBL,EIDPI,360,18:55:00,15,21:05:00,02:10:00,01:40:00,D,184,RYR
WMT338,A21N,LEBL,LATI,9HWDR,360,21:06:00,21,23:00:00,01:54:00,01:18:00,D,230,WMT
VLG6PR,A21N,EGCC,LEBL,ECNYE,350,19:10:00,17,21:05:00,01:55:00,01:23:00,D,230,VLG
RYR8JA,B738,LEBL,EGSS,EIGXN,380,21:15:00,20,22:55:00,01:40:00,01:05:00,D,184,RYR
ITY078,A20N,LIRF,LEBL,EIHOH,350,19:40:00,15,21:10:00,01:30:00,01:00:00,D,174,ITY
EZY46XV,A320,LEBL,EGGD,GEZPB,360,21:06:00,21,22:55:00,01:49:00,01:13:00,D,173,EZY
RYR379H,B738,EGPH,LEBL,9HQAL,370,18:45:00,13,21:10:00,02:25:00,01:57:00,D,184,RYR
LBT609,A320,LEBL,DTTA,TSINU,370,21:15:00,5,22:30:00,01:15:00,00:55:00,D,173,LBT
DLH67E,A320,EDDF,LEBL,DAIWJ,370,19:40:00,14,21:10:00,01:30:00,01:01:00,D,173,DLH
VLG20SB,A320,LEBL,LEZL,ECMBY,350,21:04:00,11,22:20:00,01:16:00,00:50:00,D,173,VLG
VLG45NE,A20N,LEPA,LEBL,ECNFK,180,20:42:00,17,21:15:00,00:33:00,00:01:00,D,174,VLG
VLG7BU,A320,LKPR,LEBL,ECOFU,360,19:25:00,16,21:15:00,01:50:00,01:19:00,D,173,VLG
DAH2019,B738,LEBL,DAOO,7TVJK,270,21:17:00,12,22:20:00,01:03:00,00:36:00,D,184,DAH
EOA001,C560,LGMK,LEBL,IZACK,430,18:12:00,7,21:20:00,03:08:00,02:46:00,F,8,EOA
WMT8AK,A21N,LEBL,LOWW,9HWDV,360,21:19:00,0,23:15:00,01:56:00,01:41:00,D,230,WMT
RYR806H,B738,GMME,LEBL,EIDWR,380,19:45:00,15,21:20:00,01:35:00,01:05:00,D,184,RYR
VLG374J,A321,LEBL,LEIB,ECMRF,190,21:19:00,9,21:55:00,00:36:00,00:12:00,D,207,VLG
VLG9RB,A321,EHAM,LEBL,ECMHA,350,19:42:00,25,21:20:00,01:38:00,00:58:00,D,207,VLG
EIN56V,A320,LEBL,EIDW,EIDEI,360,21:25:00,20,23:25:00,02:00:00,01:25:00,D,173,EIN
TAR514,A320,DTTA,LEBL,LYMLG,360,19:50:00,10,21:25:00,01:35:00,01:10:00,D,173,TAR
VLG30HZ,A320,EDDM,LEBL,ECMYC,370,19:50:00,14,21:25:00,01:35:00,01:06:00,D,173,VLG
VLG5LE,A321,LICC,LEBL,ECMPV,340,19:48:00,11,21:30:00,01:42:00,01:16:00,D,207,VLG
EJU12GP,A319,LIMC,LEBL,OELQQ,350,20:18:00,12,21:30:00,01:12:00,00:45:00,D,144,EJU
RYR6PQ,B38M,LEMG,LEBL,EIIJX,380,20:07:00,15,21:30:00,01:23:00,00:53:00,D,170,RYR
QTR31N,B789,LEBL,OTHH,A7BHO,390,21:38:00,11,03:15:00,05:37:00,05:11:00,B,284,QTR
VLG9JB,A321,LIMC,LEBL,ECNLV,290,20:33:00,13,21:35:00,01:02:00,00:34:00,D,207,VLG
VLG40UD,A321,EDDB,LEBL,ECNLX,350,19:31:00,8,21:35:00,02:04:00,01:41:00,D,207,VLG
TAP39MZ,A320,LEBL,LPPT,9HGTS,330,21:31:00,9,23:05:00,01:34:00,01:10:00,D,173,TAP
VLG1BA,A321,EGKK,LEBL,ECMQL,350,20:06:00,15,21:35:00,01:29:00,00:59:00,D,207,VLG
PAV542H,C525,LEVX,LEBL,DIJLJ,320,20:10:00,5,21:40:00,01:30:00,01:10:00,F,6,PAV
VLG8DM,A319,LFPO,LEBL,ECMIR,390,20:23:00,10,21:40:00,01:17:00,00:52:00,D,144,VLG
VLG82NK,A321,LIRF,LEBL,ECMGZ,340,20:18:00,13,21:45:00,01:27:00,00:59:00,D,207,VLG
VLG8BT,A21N,LEMH,LEBL,ECNYF,180,21:14:00,10,21:45:00,00:31:00,00:06:00,D,230,VLG
RYR8QT,B738,LEPA,LEBL,9HQEW,180,21:14:00,16,21:50:00,00:36:00,00:05:00,D,184,RYR
ELY392,B738,LEBL,LLBG,4XEKF,370,21:53:00,13,01:30:00,03:37:00,03:09:00,D,184,ELY
EJU89ZC,A319,LFSB,LEBL,OELQA,330,20:41:00,15,21:50:00,01:09:00,00:39:00,D,144,EJU
VLG25JN,A320,LFPG,LEBL,ECMBS,370,20:37:00,12,21:50:00,01:13:00,00:46:00,D,173,VLG
VLG34LT,A320,LEGR,LEBL,ECMXP,360,20:55:00,5,21:55:00,01:00:00,00:40:00,D,173,VLG
VLG6028,A20N,LIRQ,LEBL,ECNCS,360,20:26:00,5,21:55:00,01:29:00,01:09:00,D,174,VLG
VLG4QP,A320,LPPT,LEBL,ECKDG,380,20:41:00,15,21:55:00,01:14:00,00:44:00,D,173,VLG
VLG60YC,A321,EBBR,LEBL,ECMMH,350,20:18:00,22,22:00:00,01:42:00,01:05:00,D,207,VLG
SWR3QA,A320,LSZH,LEBL,HBIJO,330,20:45:00,13,22:00:00,01:15:00,00:47:00,D,173,SWR
RYR2889,A320,LEBL,LEPA,9HLAX,190,21:50:00,20,22:30:00,00:40:00,00:05:00,D,173,RYR
VLG91VV,A320,LEVX,LEBL,ECLAB,320,20:47:00,7,22:00:00,01:13:00,00:51:00,D,173,VLG
SWT332,AT43,LEBL,EDDK,ECJBN,240,22:06:00,17,00:50:00,02:44:00,02:12:00,E,49,SWT
VLG61FK,A320,EGLL,LEBL,ECOKI,370,20:21:00,20,22:05:00,01:44:00,01:09:00,D,173,VLG
VLG4JJ,A320,EDDB,LEBL,ECMAO,370,20:04:00,8,22:05:00,02:01:00,01:38:00,D,173,VLG
EJU7214,A319,LPPT,LEBL,OELVG,380,20:45:00,17,22:10:00,01:25:00,00:53:00,D,144,EJU
VLG52YE,A321,LIPZ,LEBL,ECMLM,350,20:47:00,11,22:10:00,01:23:00,00:57:00,D,207,VLG
VLG876B,A320,EDDH,LEBL,ECMAH,370,20:10:00,9,22:10:00,02:00:00,01:36:00,D,173,VLG
VLG67CB,A320,LEAS,LEBL,ECJTQ,320,21:08:00,5,22:15:00,01:07:00,00:47:00,D,173,VLG
RYR65DP,B738,LIPE,LEBL,EIDCW,370,20:50:00,15,22:15:00,01:25:00,00:55:00,D,184,RYR
VLG13LA,A321,GCLP,LEBL,ECMHB,340,19:37:00,14,22:15:00,02:38:00,02:09:00,D,207,VLG
VLG796R,A320,LEPA,LEBL,ECNUP,180,21:44:00,17,22:20:00,00:36:00,00:04:00,D,173,VLG
VLG14RT,A321,LEPA,LEBL,ECMQB,180,21:47:00,17,22:20:00,00:33:00,00:01:00,D,207,VLG
VLG159U,A321,EKCH,LEBL,ECMJR,350,19:53:00,10,22:20:00,02:27:00,02:02:00,D,207,VLG
VLG5SC,A320,LEZL,LEBL,ECMER,340,20:59:00,12,22:25:00,01:26:00,00:59:00,D,173,VLG
VLG9MZ,A320,LFML,LEBL,ECMVE,290,21:32:00,5,22:25:00,00:53:00,00:33:00,D,173,VLG
VLG669A,A321,LIRN,LEBL,ECMGY,340,20:58:00,12,22:25:00,01:27:00,01:00:00,D,207,VLG
RYR39JJ,B738,LEBL,LEMG,9HQBW,370,22:01:00,21,23:40:00,01:39:00,01:03:00,D,184,RYR
VLG1SG,A320,GCXO,LEBL,ECMEL,380,19:43:00,4,22:30:00,02:47:00,02:28:00,D,173,VLG
VLG79EM,A321,LPPR,LEBL,ECMLD,340,21:12:00,12,22:30:00,01:18:00,00:51:00,D,207,VLG
VLG5ET,A320,LEMH,LEBL,ECMLE,180,21:54:00,10,22:30:00,00:36:00,00:11:00,D,173,VLG
EOA001,C560,LEBL,LIEO,IZACK,310,22:41:00,20,23:35:00,00:54:00,00:19:00,F,8,EOA
VLG738J,A321,EGKK,LEBL,ECNLY,350,21:03:00,12,22:35:00,01:32:00,01:05:00,D,207,VLG
RYR73TJ,B738,EGSS,LEBL,EIEMA,370,20:44:00,10,22:35:00,01:51:00,01:26:00,D,184,RYR
VLG8112,A320,LEBL,LGAV,ECKRH,370,22:32:00,11,01:05:00,02:33:00,02:07:00,D,173,VLG
VLG7NB,A320,LEIB,LEBL,ECOGE,160,21:51:00,10,22:35:00,00:44:00,00:19:00,D,173,VLG
VLG3XA,A321,LPPT,LEBL,ECMMU,340,21:21:00,6,22:40:00,01:19:00,00:58:00,D,207,VLG
VLG41XC,A320,LEST,LEBL,ECMYB,320,21:30:00,15,22:45:00,01:15:00,00:45:00,D,173,VLG
VLG46DQ,A320,LICJ,LEBL,ECODM,380,21:22:00,12,22:45:00,01:23:00,00:56:00,D,173,VLG
VLG3WB,A319,LFMN,LEBL,ECMIQ,300,21:58:00,12,22:45:00,00:47:00,00:20:00,D,144,VLG
VLG11HU,A321,LEMG,LEBL,ECMOO,320,21:36:00,11,22:50:00,01:14:00,00:48:00,D,207,VLG
VLG4WK,A320,LIEE,LEBL,ECKDH,340,21:51:00,8,22:50:00,00:59:00,00:36:00,D,173,VLG
TAR515,A320,LEBL,DTTA,LYMLG,370,22:51:00,12,00:05:00,01:14:00,00:47:00,D,173,TAR
RYR31DG,B38M,LHBP,LEBL,EIIJM,370,20:42:00,12,22:55:00,02:13:00,01:46:00,D,170,RYR
VLG3AC,A320,LECO,LEBL,ECOFX,320,21:46:00,6,22:55:00,01:09:00,00:48:00,D,173,VLG
RYR71AV,B738,LIME,LEBL,EIENF,350,21:55:00,7,23:00:00,01:05:00,00:43:00,D,184,RYR
NSZ5521,B738,ENGM,LEBL,SERRF,410,20:17:00,15,23:00:00,02:43:00,02:13:00,D,184,NSZ
RYR1397,B738,LIPQ,LEBL,9HQDA,370,21:37:00,10,23:05:00,01:28:00,01:03:00,D,184,RYR
RYR67KU,B738,LEZL,LEBL,EIEBF,380,22:08:00,12,23:15:00,01:07:00,00:40:00,D,184,RYR
RYR404A,B738,LPPR,LEBL,EIDCN,320,21:40:00,15,23:20:00,01:40:00,01:10:00,D,184,RYR
RYR56YL,B738,EIDW,LEBL,9HQEK,370,21:20:00,20,23:20:00,02:00:00,01:25:00,D,184,RYR
VJT750,GL7T,LEBL,HAAB,9HVID,490,23:15:00,15,06:00:00,06:45:00,06:15:00,E,19,VJT
AEE712,A20N,LGAV,LEBL,SXNEQ,380,20:53:00,14,23:25:00,02:32:00,02:03:00,D,174,AEE
TAP1040,A320,LPPT,LEBL,CSTNX,380,21:52:00,16,23:25:00,01:33:00,01:02:00,D,173,TAP
IBE2601,A332,LEBL,SAEZ,ECNRH,400,23:42:00,12,12:00:00,12:18:00,11:51:00,B,281,IBE
